id,title,country,cast,episodes,synopsis,year,genre
1,"Arthdal Chronicles","South Korea","Jang Dong-gun, Song Joong-ki, Kim Ji-won",18,"In a mythical land called Arth, the inhabitants of the ancient city of Arthdal and its surrounding regions vie for power as they build a new society.",2019,Fantasy
2,"Hotel Del Luna","South Korea","IU (Lee Ji-eun), Yeo Jin-goo,  Jung Dong-hwan, Lee Tae-sun, Kang Mi-na ",16,"Hotel Del Luna is not like any other hotels, but it?s a place for the dead souls. The hotel is owned by Jang Man Weol, and the man of ability, Ku Chan Seong works as a manager. A story of the fussy owner, hoteliers, and the dead guests will unfold in this hotel.
",2019,Fantasy
3,"Mystic Pop-up Bar","South Korea","Hwang Jun- Eum, Yook Sung-Jae, Choi Won-Young",12,"Mystic Pop-up Bar tells the story of a mysterious food cart run by an ill-tempered woman named Weol-ju, an innocent part-time employee named Han Kang-bae and a former afterlife detective known as Chief Gwi who visit customers in their dreams to help resolve their problems.",2020,Fantasy
4,"The Crowned Clown","South Korea","Yeo Jin-Goo, Lee Se-Young
",16,"Joseon is in a state of disorder due to uprisings and a power struggle surrounding King Lee Hun. To avoid assassination, a clown named Ha Sun is brought to the palace to take the place of King Lee Hun. Ha Sun looks almost identical to King Lee Hun.",2019,Historical
5,"King Maker: The Change of Destiny","South Korea","Park Si-hoo, Ko Sung-hee, Sung Hyuk, Jun Kwang-ryul",21,"It tells the sad love and beautiful challenge of Joseon's best fortune teller who uses fame and wealth as a weapon. He and his love will be threatened by Kingmakers and the struggles to get the throne.",2020,Historical
6,"He is Psychometric","South Korea","Park Jin-young Shin Ye-eun Kim Kwon Kim Da-som",16,"He is Psychometric is about a man,who can read the secrets of people by touching their skin, meets a woman who is trying to hide her own deep secrets. They team up to solve a mystery surrounding a fire that changed both of their lives when they were young.",2019,Mystery
7,"365: Repeat The Year","South Korea","Lee Joon-Hyuk,  Nam Ji-Hyun,  Kim Ji-Soo",24,"It is a time travel mystery thriller that tells the story of 10 people who get the chance to go back in time one year to change their lives, but things don?t go as planned and a suspenseful mystery is introduced as they begin dying one by one.",2020,Mystery
8,"When the Camellia Blooms","South Korea","Gong Hyo-jin, Kang Ha-neul, Kim Ji-seok ",20,"Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her.",2019,Romance
9,"It’s Okay to Not Be Okay","South Korea","Kim Soo-hyun, Seo Ye-ji, Oh Jung-se",16,"An extraordinary road to emotional healing opens up for an antisocial children's book writer and a selfless psych ward caretaker when they cross paths.",2020,Romance
10,"Crash Landing on You","South Korea","Hyun Bin, Son Ye-jin, Seo Ji-hye",16,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",2020,Romance
11,Extraordinary,"South Korea","Kim Hye-Yoon Ro Woon Lee Jae-wook Lee Na-eu, Kim Young-Dae, Jung Gun-Joo, Lee Tae-Ri",32,"It tells the story of a girl who realizes that she is a supporting character inside a romance manga named "Secret". She tries to change the fixed story for her love and life.",2019,Youth
12,"Record of Youth","South Korea"," Park Bo-gum, Park So-dam, Byeon Woo-seok",16,"Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.",2020,Youth
13,"The Untamed",China,"Sean Xiao,  Wang Yi Bo",50,"Wei Wu Xian and Lan Wang Ji, two talented disciples of respectable clans, meet during a cultivation training and accidentally discover a secret carefully hidden for many years. Taking on the legacy of their ancestors, they decide to rid the world of the ominous threat, but in a dramatic turn of events, Wei Wu Xian dies. Sixteen years later, Wei Wu Xian is brought back to life through a self-sacrificing ritual. He conceals himself behind a mask and assumes the identity of his summoner. Soon Wei Wu Xian reunites with Lan Wang Ji, and the pair starts working together to solve the mysteries of the present and unravel the truth behind the events of the past.",2019,Historical
14,"Legend of Awakening",China,"Arthur Chen,  Cheng Xiao, Dylan Xiong, Ancy Deng,  Jerry Yu,  Shang Xuan",48,"In the Five Dynasties and Ten Kingdoms era, young Lu Ping escapes the wicked forces of Shanhai Tower and discovers his spiritual identity in a moment of enlightenment ? or rather, his spiritual identities, as he becomes aware of six distinct souls revolving through his being. When Lu later begins to train and grow under his teacher?s masterful guidance, he meets eternal brethren and earns the affection of the young miss Qin along the way. All is going well until a vision reveals his relationship to an unresolved crime in the martial arts world of a decade earlier.",2020,Historical
15,"Detective L",China,"Johnny Bai, 
Una You
",24,"Set in the Republican Era in Shanghai in the 1930s: An intriguing crime case emerges amidst the bustling city. A beautiful new graduate of the police academy, Qin Xiao Man, joins the investigation unit. The famous detective Luo Fei becomes her colleague and neighbour. Together they solve case after case with a growing conspiracy appearing.ÿ",2019,Mystery
16,"My Roommate is a Detective",China,"Hu Yi Tian, Zhang Yun Long,  Xiao Yan",36,"Set in the mid-1920s. A resourceful young police officer named Qiao Chu Sheng and a genius, Lu Yao and a reporter, Bai You Ning form a small detective squad that specializes in solving strange and unsettling murder mysteries.",2020,Mystery
17,"Go Go Squid!",China,"Yang Zi,  Li Xian",41,"A cute romance between an adorable singer who develops a crush on a guy that she is too scared to approach. He is a genius in the field of computer engineering and a legend in the world of professional gaming.",2019,Romance
18,"The Romance of Tiger and Rose",China,"Rosy Zhao, Ryan Ding 
",24,"Chen Xiaoqian, a scriptwriter accidentally entered her own script where she became the third princess of Xuanhu City, a minor supporting character who would be killed anytime. Thus begins her journey of survival, where she meets two guys - an unpredictable rich young master named Han Shuo and a perfect guy who is the Minister of Education named Pei Heng.",2020,Romance
19,"Put Your Head on My Shoulder",China,"Xing Fei, Ling Yi, Tang Xiaotian, Zheng Yingchen",24,"Situ Mo is a graduating student. As someone who got used to having her whole life planned out for her, she is at a loss about her future and can't find the courage to make a decision for herself. Because the school districts have merged, physics major Gu Weiyi barges into her life. They clash repeatedly without noticing that they are slowly walking into each other's hearts. To their surprise, they accidentally end up having to live together.",2019,Youth
20,"Go Ahead",China,"Seven Tan, Song Wei Long, Steven Zhang  ",46,"The story revolves around three troubled youths who find solace in their common experiences to become the best family that they can be for each other. Growing up in dysfunctional households, three individuals who are unrelated by blood treat each other like family as they yearn for the love that they cannot find at home. Eldest brother Ling Xiao, second brother He Zi Qiu, and youngest sister Li Jian Jian grow up together, experiencing life's joy and strife as they support each other's chosen paths.",2020,Youth
21,"Suspicious Partner","South Korea"," Ji Chang-wook, Nam Ji-hyun, Choi Tae-joon, Kwon Nara",40,"The plot focuses on the relationship between a prosecutor and prosecutor trainee as they attempt to solve a case involving a devious serial killer. Noh Ji-wook (Ji Chang-wook), is a private attorney who harbors a painful past regarding his parents and first love.",2017,Mystery
22,"The Bride of the Water God","South Korea","Shin Se-kyung, Nam Joo-hyuk, Lim Ju-hwan",16,"When the god of the Land of Water, Lord Ha-baek visits earth to retrieve the sacred stones needed for him to claim the throne of the Divine Realm, he seeks out the help of neuropsychiatrist So-ah, the only remaining descendant from a middle-class family fated to serve him for generations.",2017,Fantasy
23,"Fight For My Way","South Korea"," Park Seo-joon, Kim Ji-won, Ahn Jae-hong, Song Ha-yoon",16,"The story is about underdogs with big dreams struggling to survive and striving for success in a career they're under-qualified for. A long time friendship is blossoming into romance between two immature friends Ko Dong-man and Choi Ae-ra whose childish dynamic hasn't changed despite reaching adulthood.",2017,Romance
24,"The King Loves","South Korea","Im Si-wan, Im Yoon-ah, Hong Jong-hyun",40,"Set in the Goryeo dynasty, it tells the story of a young and ambitious monarch Won with a desire to conquer, and two people who shape his destiny; childhood friend Wang Rin and a beautiful young woman named San. ",2017,Historical
25,"School 2017","South Korea"," Kim Jung-hyun, Kim Se-jeong, Jang Dong-yoon, Han Sun-hwa",16,"The plot follows a class of high school students attempting to overcome the stress of being ranked by their exam grades, and facing the difficulties of being a teenager in a high-pressure, corrupt system.",2017,Youth
26,"Are You Human?","South Korea","Seo Kang-joon, Gong Seung-yeon",36,"Oh Laura, a renowned scientist, was forced to part with her young son, Nam Shin. To cope with her loss, she builds various AI robots modelled after him, naming them Nam Shin I, II and III. Decades later, Nam Shin slips into a coma. To protect his position as the heir to a chaebol, Laura sends Nam Shin III to take his place.",2018,Mystery
27,"The Beauty Inside","South Korea","Seo Hyun-jin, Lee Min-ki",16,"About the love story of Han Se-gye, who is an A-list actress. She is known as a troublemaker and the object of many rumors. Her life is a mystery, but, in reality, she suffers from an unusual phenomenon.",2018,Fantasy
28,"My ID is Gangnam Beauty","South Korea","Im Soo-hyang, Cha Eun-woo, Jo Woo-ri, Kwak Dong-yeon",16,"Im Soo-hyang, Cha Eun-woo, Jo Woo-ri, Kwak Dong-yeon",2018,Romance
29,"100 Days My Prince","South Korea","Do Kyung-soo, Nam Ji-hyun",16,"Lee Yool is the Crown Prince, but he suddenly disappears. He comes back to the palace one hundred days later. What happened to the Crown Prince for the past one hundred days? Meanwhile, Hong-Sim is smart and runs the first private detective agency in Joseon.",2018,Historical
30,"Eternal Love",China,"Yang Mi, Mark Chao",58,"In the 18th century Beijing, during the 6th year of the Qianlong's reign, Wei Ying Luo enters the Forbidden City as an embroiderer to investigate the truth behind her older sister's rape and murder. Believing that Imperial Guard Fuca Fuheng to be the prime suspect, Ying Luo schemingly approaches his sister, Empress Fuca Rongyin, and is transferred to work as her maid. However, the kind-hearted Empress quickly takes a liking to Ying Luo's streetsmart and plucky attitude, teaching her to read and write and becoming her benefactor, while Fuca Fuheng falls in love with her and supports her investigation. Realizing that the Fuca siblings are innocent of the crime, Ying Luo moves her attention to the other people in the palace in hopes of finding the perpetrator, all while protecting the Empress from the harem's conspiracies, as she rises through the ranks.",2018,Romance
31,Negotiator,China,"Yang Mi, Zi Tao",41,"Tong Wei is a genius negotiator who is the star of the US-China Business Council. Male lead Xie Xiao Fei is the sole heir of a wealthy Chinese-American corporation, but wants nothing to do with his family business. He vents his frustrations on Tong Wei, though their bickering relationship soon takes a romantic turn. Will their love withstand business storms and challenges from their families?",2018,Romance
32,"Ashes of Love",China,"Yang Zi, Deng Lun, Luo Yunxi, Wang Yifei, Chen Yuqi, Zou Tingwei",63,"In ancient times, the Flower Goddess dies after giving birth to a daughter. Before she passed, she fed her daughter the Unfeeling Pill, ordered her subordinates to keep the girl’s birth story a secret and to imprison her within Shui Jing for 10,000 years. The girl’s name is Jin Mi. 4,000 years later, the Heavenly Emperor’s second son, Xu Feng, was entrapped by someone and mistakenly entered Shui Jing. He was saved by the ignorant Jin Mi. After living together for 100 years, Xu Feng gradually developed feelings for Jin Mi. Someone close to them wants to use those feelings for their own benefit.",2018,Romance
33,"When We Were Young",China,"Neo Hou, Wang Pen, Gala Zhang, Marcus Li, Pan Mei Ye",24,"While chasing down a bike thief during the summer, Yang Xi gets injured by a lab explosion that renders her unable to compete in a long-distance run. When school opens, she realizes that the culprit behind her misfortune has transferred to her class and has even taken her position as class president. He is Hua Biao, a hot-blooded, rash and gifted genius of the science department. Hua Biao's arrival immediately puts his classmates on guard and he must prove himself to be accepted by the class. Later on, they go through lots of ups and downs in life.",2018,Romance
34,"Medical Examiner Dr. Qin: The Survivor",China,"Jing Chao, Liu Hai Kuan, Vicky Yu, Ai Xiao Qi",30,"A stone-faced forensic examiner joins hands with a cop, a crime scene investigator and two women who become integral to the pursuit of truth behind a series of mysterious cases. ",2018,Mystery
35,"Head Above Water",China,"Jin Dong, Han Yu Qin",30,"Top secret research on the newest Bathyscaphe technology is stolen. Task force headed by Hong Shao Qiu and Ye Han is assigned to solve this case in which the nation's secret and defense is on the line.",2017,Mystery
36,"Butterfly Lovers",China,"Kevin Yan, Nikki Chen, Lin Feng Song",29,"The Butterfly Lovers is a sad love story. It begins with a rich daughter disguised as a man to pursue her intellectual needs at an academy. There she befriends Liang Shan Bo. They study day and night together but because Shan Bo is a gentlemanly nerd, he fails to recognize her feminine characteristics. When they see their love for each other, it’s too late as Ying Tai is forced to marry another man.",2017,Romance
37,"Colourful Bone",China,"Wang He Run, Tong Meng Shi ",53,"The Prime Minister of Tianchu is revered and feared for his power over Tianchu as he has control over the nation until the Crown Prince becomes King. His only weakness is his goddaughter Jing Shu whom he sends into hiding. In order to save the life of a mysterious death warrior, she agrees to use the art of painting skin to change one person’s identity and their lives have become intertwined ever since. ",2017,Historical
38,"A Love So Beautiful",China,"Shen Yue, Hu Yi Tian ",24,"A story about youth, the friendships formed and the flutters of a having a crush as it revolves around a romance between an student and her tall, intelligent and handsome classmate. ",2017,Youth
39,"Tribes and Empires: Storm of Prophecy",China,"Huang Xuan, Shawn Dou , Zhou Yiwei ",75,"A fantasy adventure story set in the world of Novoland that follows three major characters – a prince who is half-human and half-demon, the son of a general who has been abandoned by his own family and a future leader of a Northern tribe. ",2017,Fantasy
40,"Eternal Love",China,"Yang Mi, Mark Chao",58,"In the 18th century Beijing, during the 6th year of the Qianlong's reign, Wei Ying Luo enters the Forbidden City as an embroiderer to investigate the truth behind her older sister's rape and murder. Believing that Imperial Guard Fuca Fuheng to be the prime suspect, Ying Luo schemingly approaches his sister, Empress Fuca Rongyin, and is transferred to work as her maid. However, the kind-hearted Empress quickly takes a liking to Ying Luo's streetsmart and plucky attitude, teaching her to read and write and becoming her benefactor, while Fuca Fuheng falls in love with her and supports her investigation. Realizing that the Fuca siblings are innocent of the crime, Ying Luo moves her attention to the other people in the palace in hopes of finding the perpetrator, all while protecting the Empress from the harem's conspiracies, as she rises through the ranks.",2018,Historical
41,"Ashes of Love",China,"Yang Zi, Deng Lun, Luo Yunxi, Wang Yifei, Chen Yuqi, Zou Tingwei",63,"In ancient times, the Flower Goddess dies after giving birth to a daughter. Before she passed, she fed her daughter the Unfeeling Pill, ordered her subordinates to keep the girl’s birth story a secret and to imprison her within Shui Jing for 10,000 years. The girl’s name is Jin Mi. 4,000 years later, the Heavenly Emperor’s second son, Xu Feng, was entrapped by someone and mistakenly entered Shui Jing. He was saved by the ignorant Jin Mi. After living together for 100 years, Xu Feng gradually developed feelings for Jin Mi. Someone close to them wants to use those feelings for their own benefit.",2018,Fantasy
42,"Ashes of Love",China,"Yang Zi, Deng Lun, Luo Yunxi, Wang Yifei, Chen Yuqi, Zou Tingwei",63,"In ancient times, the Flower Goddess dies after giving birth to a daughter. Before she passed, she fed her daughter the Unfeeling Pill, ordered her subordinates to keep the girl’s birth story a secret and to imprison her within Shui Jing for 10,000 years. The girl’s name is Jin Mi. 4,000 years later, the Heavenly Emperor’s second son, Xu Feng, was entrapped by someone and mistakenly entered Shui Jing. He was saved by the ignorant Jin Mi. After living together for 100 years, Xu Feng gradually developed feelings for Jin Mi. Someone close to them wants to use those feelings for their own benefit.",2018,Historical
43,"When We Were Young",China,"Neo Hou, Wang Pen, Gala Zhang, Marcus Li, Pan Mei Ye",24,"While chasing down a bike thief during the summer, Yang Xi gets injured by a lab explosion that renders her unable to compete in a long-distance run. When school opens, she realizes that the culprit behind her misfortune has transferred to her class and has even taken her position as class president. He is Hua Biao, a hot-blooded, rash and gifted genius of the science department. Hua Biao's arrival immediately puts his classmates on guard and he must prove himself to be accepted by the class. Later on, they go through lots of ups and downs in life.",2018,Youth
44,"Butterfly Lovers",China,"Kevin Yan, Nikki Chen, Lin Feng Song",29,"The Butterfly Lovers is a sad love story. It begins with a rich daughter disguised as a man to pursue her intellectual needs at an academy. There she befriends Liang Shan Bo. They study day and night together but because Shan Bo is a gentlemanly nerd, he fails to recognize her feminine characteristics. When they see their love for each other, it’s too late as Ying Tai is forced to marry another man.",2017,Historical
45,"A Love So Beautiful",China,"Shen Yue, Hu Yi Tian ",24,"A story about youth, the friendships formed and the flutters of a having a crush as it revolves around a romance between an student and her tall, intelligent and handsome classmate. ",2017,Romance
